formatted_date,index_level,date,high,low,open,close,volume,adjclose,dividends,ticker,sector,trading,rf_rate,rf_return,mkt_return,mkt_curve,h2l_range,o2c_range,range,o2c_return,c2c_return,ma_195,ma_225,signal,position,trade_date,cash,total_value,stock_num,stock_value,trans_exp,equity_change,equity_curve,equity_curve_base
2013-01-02,1462.4200439453125,1357137000.0,12.904999732971191,12.663000106811523,12.803999900817873,12.865500450134276,65420000.0,12.865500450134276,0.0,AMZN,Consumer Discretionary,1,0.15,5.947938814809817e-06,,1.0,0.24199962615966797,0.0615005493164027,0.019110765546743957,0.004803229443361312,,12.865500450134276,12.865500450134276,1.0,0.0,,1000000.0,1000000.0,0.0,0.0,0.0,0.0,1.0,1.0
2013-01-03,1459.3699951171875,1357223400.0,13.043999671936035,12.818499565124512,12.863499641418455,12.923999786376951,55018000.0,12.923999786376951,0.0,AMZN,Consumer Discretionary,1,0.15,5.947938814809817e-06,-0.0020856174946130013,0.997914382505387,0.22550010681152344,0.060500144958496094,0.017591770836038023,0.004703241469661501,0.004546992670002581,12.894750118255613,12.894750118255613,,1.0,2013-01-03,654.4220758820884,998387.2055841828,77200.0,997732.7835083007,5356.943173751831,-0.001612794415817298,0.9983872055841827,1.0045469926700026
2013-01-04,1466.469970703125,1357309800.0,12.989999771118164,12.832500457763672,12.878999710083008,12.957500457763672,37484000.0,12.957500457763672,0.0,AMZN,Consumer Discretionary,1,0.15,5.947938814809817e-06,0.004865096315322948,1.0027693320907218,0.1574993133544922,0.07850074768066406,0.012273470308680645,0.006095251917678457,0.002592128748101219,12.915666898091635,12.915666898091635,,1.0,2013-01-03,654.4220758820884,1000973.4574152376,77200.0,1000319.0353393555,0.0,0.002590429661547544,1.0009734574152376,1.007150907808521
2013-01-07,1461.8900146484375,1357569000.0,13.486499786376951,13.133500099182127,13.148500442504885,13.42300033569336,98200000.0,13.42300033569336,0.0,AMZN,Consumer Discretionary,1,0.15,5.947938814809817e-06,-0.0031231161538831653,0.9996375669910507,0.3529996871948242,0.2744998931884748,0.026877807479272597,0.02087689728488762,0.03592512919038926,13.042500257492065,13.042500257492065,,1.0,2013-01-03,654.4220758820884,1036910.0479914094,77200.0,1036255.6259155273,0.0,0.035901641856687316,1.0369100479914095,1.04333293428576
2013-01-08,1457.1500244140625,1357655400.0,13.449000358581545,13.178500175476074,13.353500366210938,13.319000244140623,60214000.0,13.319000244140623,0.0,AMZN,Consumer Discretionary,1,0.14,5.551685702931408e-06,-0.003242371304872038,0.9963963708285668,0.2705001831054705,-0.034500122070314276,0.02052587012965601,-0.0025836013872146957,-0.0077479020302329005,13.097800254821777,13.097800254821777,,1.0,2013-01-03,654.4220758820884,1028881.2409235382,77200.0,1028226.8188476561,0.0,-0.0077430121189622225,1.0288812409235384,1.0352492929259984
2013-01-09,1461.02001953125,1357741800.0,13.475000381469728,13.270000457763672,13.408499717712402,13.317500114440918,45312000.0,13.317500114440918,0.0,AMZN,Consumer Discretionary,1,0.13,5.155393176359269e-06,0.002655865938542279,0.9990426660111376,0.20499992370605646,-0.09099960327148438,0.015448373521804948,-0.006786710309675814,-0.0001126308035293011,13.134416898091635,13.134416898091635,,1.0,2013-01-03,654.4220758820884,1028765.430910721,77200.0,1028111.0088348389,0.0,-0.00011255916447006076,1.028765430910721,1.035132691966283
2013-01-10,1472.1199951171875,1357828200.0,13.437000274658203,13.114999771118164,13.427000045776367,13.267000198364258,57268000.0,13.267000198364258,0.0,AMZN,Consumer Discretionary,1,0.14,5.551685702931408e-06,0.007597415119266371,1.0066328078666829,0.32200050354003906,-0.15999984741210938,0.024552078471945293,-0.01191627667138051,-0.003791996669247233,13.153357369559151,13.153357369559151,,1.0,2013-01-03,654.4220758820884,1024866.8373896028,77200.0,1024212.4153137207,0.0,-0.0037895844902825493,1.0248668373896028,1.031207472246118
2013-01-11,1472.050048828125,1357914600.0,13.421500205993652,13.205499649047852,13.255000114440918,13.397000312805176,48266000.0,13.397000312805176,0.0,AMZN,Consumer Discretionary,1,0.14,5.551685702931408e-06,-4.7513986152325494e-05,1.0065849787293892,0.21600055694580078,0.1420001983642578,0.0163568636315381,0.010712953386515123,0.009798757254631418,13.183812737464905,13.183812737464905,,1.0,2013-01-03,654.4220758820884,1034902.8462244417,77200.0,1034248.4241485596,0.0,0.009792500321701425,1.0349028462244416,1.0413120239458198
2013-01-14,1470.6800537109375,1358173800.0,13.713000297546388,13.376999855041504,13.399999618530272,13.636500358581545,85500000.0,13.636500358581545,0.0,AMZN,Consumer Discretionary,1,0.14,5.551685702931408e-06,-0.0009306715612543703,1.0056481787157001,0.3360004425048846,0.23650074005127308,0.025117772755170797,0.017649309461488905,0.017877139671889752,13.23411136203342,13.23411136203342,,1.0,2013-01-03,654.4220758820884,1053392.2497583774,77200.0,1052737.8276824954,0.0,0.017865835040834277,1.0533922497583774,1.0599277044399174
2013-01-15,1472.3399658203125,1358260200.0,13.636500358581545,13.46500015258789,13.534000396728516,13.595000267028809,46538000.0,13.595000267028809,0.0,AMZN,Consumer Discretionary,1,0.14,5.551685702931408e-06,0.0011286697641588184,1.0067832234083978,0.17150020599365412,0.06099987030029297,0.012736739996300095,0.004507157419253449,-0.0030433095340784977,13.270200252532959,13.270200252532959,,1.0,2013-01-03,654.4220758820884,1050188.442690506,77200.0,1049534.020614624,0.0,-0.0030414188718458357,1.0501884426905062,1.0567020163515615
2013-01-16,1472.6300048828125,1358346600.0,13.562000274658203,13.39150047302246,13.52649974822998,13.446499824523926,41312000.0,13.446499824523926,0.0,AMZN,Consumer Discretionary,1,0.14,5.551685702931408e-06,0.00019699191031485874,1.00698155155885,0.17049980163574396,-0.07999992370605469,0.012731941575869099,-0.005914310811747425,-0.010923165839505922,13.28622748635032,13.28622748635032,,1.0,2013-01-03,654.4220758820884,1038724.2085291292,77200.0,1038069.7864532471,0.0,-0.010916359098378958,1.0387242085291293,1.0451594849840131
2013-01-17,1480.93994140625,1358433000.0,13.59850025177002,13.46049976348877,13.574999809265137,13.52400016784668,37692000.0,13.52400016784668,0.0,AMZN,Consumer Discretionary,1,0.14,5.551685702931408e-06,0.005642922184040833,1.0126638700950614,0.13800048828125,-0.05099964141845703,0.010252255912189367,-0.0037568797152872646,0.005763607208874255,13.306041876475016,13.306041876475016,,1.0,2013-01-03,654.4220758820884,1044707.2350336458,77200.0,1044052.8129577637,0.0,0.005759975993039346,1.044707235033646,1.0511833737260903
