date,high,low,open,close,volume,adjclose,formatted_date,dividends,ticker,sector
1073053800,2.656500101089477,2.571500062942505,2.638000011444092,2.595000028610229,132798000,2.595000028610229,2004-01-02,0,AMZN,Consumer Discretionary
1073313000,2.680000066757202,2.56850004196167,2.5999999046325684,2.6635000705718994,225682000,2.6635000705718994,2004-01-05,0,AMZN,Consumer Discretionary
1073399400,2.674999952316284,2.63700008392334,2.6554999351501465,2.65149998664856,119710000,2.65149998664856,2004-01-06,0,AMZN,Consumer Discretionary
1073485800,2.632999897003174,2.546999931335449,2.608999967575073,2.595000028610229,184854000,2.595000028610229,2004-01-07,0,AMZN,Consumer Discretionary
1073572200,2.6050000190734863,2.501499891281128,2.6045000553131104,2.51200008392334,206406000,2.51200008392334,2004-01-08,0,AMZN,Consumer Discretionary
1073658600,2.6075000762939453,2.4549999237060547,2.4885001182556152,2.5794999599456787,255584000,2.5794999599456787,2004-01-09,0,AMZN,Consumer Discretionary
1073917800,2.65149998664856,2.539999961853028,2.5804998874664307,2.6475000381469727,189018000,2.6475000381469727,2004-01-12,0,AMZN,Consumer Discretionary
1074004200,2.749500036239624,2.620500087738037,2.633500099182129,2.745500087738037,290446000,2.745500087738037,2004-01-13,0,AMZN,Consumer Discretionary
1074090600,2.799499988555908,2.7074999809265137,2.7309999465942383,2.789999961853028,222682000,2.789999961853028,2004-01-14,0,AMZN,Consumer Discretionary
1074177000,2.83899998664856,2.7309999465942383,2.736500024795532,2.809000015258789,244346000,2.809000015258789,2004-01-15,0,AMZN,Consumer Discretionary
1074263400,2.81850004196167,2.763499975204468,2.813499927520752,2.7860000133514404,182284000,2.7860000133514404,2004-01-16,0,AMZN,Consumer Discretionary
1074609000,2.8420000076293945,2.7704999446868896,2.7785000801086426,2.8304998874664307,154968000,2.8304998874664307,2004-01-20,0,AMZN,Consumer Discretionary
1074695400,2.8469998836517334,2.782000064849853,2.808000087738037,2.809999942779541,135672000,2.809999942779541,2004-01-21,0,AMZN,Consumer Discretionary
1074781800,2.8910000324249268,2.812000036239624,2.8405001163482666,2.858999967575073,213444000,2.858999967575073,2004-01-22,0,AMZN,Consumer Discretionary
1074868200,2.880500078201294,2.8310000896453857,2.8550000190734863,2.8554999828338623,120780000,2.8554999828338623,2004-01-23,0,AMZN,Consumer Discretionary
1075127400,2.859999895095825,2.815000057220459,2.8399999141693115,2.8515000343322754,111320000,2.8515000343322754,2004-01-26,0,AMZN,Consumer Discretionary
1075213800,2.88700008392334,2.782999992370605,2.8364999294281006,2.7869999408721924,259282000,2.7869999408721924,2004-01-27,0,AMZN,Consumer Discretionary
1075300200,2.7225000858306885,2.5810000896453857,2.681999921798706,2.5980000495910645,431626000,2.5980000495910645,2004-01-28,0,AMZN,Consumer Discretionary
1075386600,2.6029999256134038,2.430000066757202,2.601999998092652,2.4609999656677246,449702000,2.4609999656677246,2004-01-29,0,AMZN,Consumer Discretionary
